,account,impressions,avg_cpc,ctr,conv_rate,ad_group,headline_1,headline_2,headline_3,description_line_1,description_line_2
8650,,270,1.94,0.104,0.00%,Aston Martin Brand,Aston Martin Vantage,"Lease A 2019 Coupe For $1,397",Aston Martin San Diego,"Lease a 2019 Aston Martin Vantage Coupe for $1,397 a month from Aston Martin San Diego.",36 Month Lease. Hammerhead Silver. Pure Black Interior.
8654,,663,3.34,0.068,0.00%,Aston Martin Brand,The New Aston Martin Vantage,"Lease For $1,697",Aston Martin San Diego,"Lease an all new Aston Martin Vantage for $1,697 a month from Aston Martin San Diego",Expanding the availability of high-end automobiles & automotive service in Southern CA.
8600,,413,4.4,0.041,0.00%,Bentley,All New Aston Martin DB11,"Lease For $1,997",Aston Martin San Diego,"Lease a new Aston Martin DB11 Volante for $1,997 a month from Aston Martin San Diego.",Expanding the availability of high-end automobiles & automotive service in Southern CA.
8655,,325,2.29,0.037,0.00%,Aston Martin Brand,Aston Martin DBS Superleggera,Lease A 2019 DBS Coupe,Aston Martin San Diego,Lease a 2019 Aston Martin DBS Superleggera from Aston Martin San Diego,Here to get you into the Aston Martin of your dreams. Visit our showroom today.
8619,,593,3.35,0.03,0.00%,Lamborghini,Aston Martin Vantage,"Lease A 2019 Coupe For $1,597",Aston Martin San Diego,"Lease a 2019 Aston Martin Vantage Coupe for $1,597 a month from Aston Martin San Diego.",36 Month Lease. Skyfall Silver. Dark Knight and Argento Interior.
8608,,1014,3.46,0.024,0.00%,Lamborghini,The New Aston Martin Vantage,"Lease For $1,697",Aston Martin San Diego,"Lease an all new Aston Martin Vantage for $1,697 a month from Aston Martin San Diego",Expanding the availability of high-end automobiles & automotive service in Southern CA.
8640,,260,2.37,0.019,0.00%,Mercedes,2019 Vantage Coupe,"Lease for $1,597",Aston Martin San Diego,"Lease a 2019 Aston Martin Vantage for $1,597 a month from Aston Martin San Diego","36 Month Lease. 15,000 Due at Signing. Offer Expires 7/31/19."
8656,,252,2.81,0.016,0.00%,Aston Martin Brand,2019 Vantage Coupe,"Lease for $1,597",Aston Martin San Diego,"Lease a 2019 Aston Martin Vantage for $1,597 a month from Aston Martin San Diego","36 Month Lease. 15,000 Due at Signing. Offer Expires 7/31/19."
8620,,990,1.79,0.012,0.00%,Lamborghini,Aston Martin DBS Superleggera,Lease A 2019 DBS Coupe,Aston Martin San Diego,Lease a 2019 Aston Martin DBS Superleggera from Aston Martin San Diego,Here to get you into the Aston Martin of your dreams. Visit our showroom today.
8574,,292,3.23,0.01,0.00%,McLaren,Aston Martin DBS Superleggera,Lease A 2019 DBS Coupe,Aston Martin San Diego,Lease a 2019 Aston Martin DBS Superleggera from Aston Martin San Diego,Here to help you get into the Aston Martin of your dreams.
8571,,1655,3.07,0.01,0.00%,McLaren,Aston Martin DBS Superleggera,View Photos & Details,Aston Martin San Diego,Lease a 2019 Aston Martin DBS Superleggera Coupe from Aston Martin San Diego,36 Month Lease. White Stone Exterior. Blue Haze Interior.
8586,,1271,2.74,0.01,0.00%,Porsche 911,2019 Vantage Coupe,"Lease for $1,397",Aston Martin San Diego,"Lease a 2019 Aston Martin Vantage for $1,397 a month from Aston Martin San Diego","36 Month Lease. 15,000 Due at Signing. Offer Expires 7/31/19."
8604,,335,2.51,0.009,0.00%,Bentley,Aston Martin DB11 Coupe,"Lease All New DB11 for $1,747",Aston Martin San Diego,"Lease an all new Aston Martin DB11 V8 for $1,747 a month from Aston Martin San Diego.",Expanding the availability of high-end automobiles & automotive service in Southern CA.
8622,,267,2.88,0.008,0.00%,BMW,2019 Vantage Coupe,"Lease for $1,397",Aston Martin San Diego,"Lease a 2019 Aston Martin Vantage for $1,397 a month from Aston Martin San Diego","36 Month Lease. 15,000 Due at Signing. Offer Expires 7/31/19."
