Campaign,Ad Group,Ad type,Labels,Headline 1,Headline 2,Headline 3,Description Line 1,Description Line 2,Path 1,Path 2,Final URL,Final mobile URL,Tracking template,Final URL suffix,Custom parameters,Campaign Status,Ad Group Status,Status,Approval Status,Comment,Impressions,CTR,Avg CPC,Conversions,Cost per conv,Conv rate,Conv value per cost,Avg Pos
Conquest (Model),McLaren,Expanded text ad,KGR00308;Offer;sold,Aston Martin DBS Superleggera,Lease A New DBS,Aston Martin San Diego,Lease an all new Aston Martin DBS Superleggera from Aston Martin San Diego,Expanding the availability of high-end automobiles & automotive service in Southern CA.,,,https://www.astonmartinsandiego.com/inventory/new-2019-Aston+Martin-DBS+Superleggera-SCFRMHAV1KGR00308?utm_source=google&utm_medium=cpc&utm_campaign=dealer_world&utm_content=mclaren_conquest,,,,,Enabled,Enabled,Paused,Approved,,2,0.00%,0,0,0,0.00%,0,1.5
Conquest (Model),McLaren,Expanded text ad,Branding,Aston Martin DBS Superleggera,View Inventory Now,Aston Martin San Diego,Expanding the availability of high-end automobiles & automotive service in Southern CA.,,,,https://www.astonmartinsandiego.com/inventory?category=new&vehicle=aston%2Bmartin%40dbs%2Bsuperleggera&utm_source=google&utm_medium=cpc&utm_campaign=dealer_world&utm_content=mclaren_conquest,,,,,Enabled,Enabled,Paused,Approved,,0,0.00%,0,0,0,0.00%,0,0
Conquest (Model),McLaren,Expanded text ad,KGR00104;Offer,Aston Martin DBS Superleggera,View Photos & Details,Aston Martin San Diego,Lease a 2019 Aston Martin DBS Superleggera Coupe from Aston Martin San Diego,36 Month Lease. White Stone Exterior. Blue Haze Interior.,,,https://www.astonmartinsandiego.com/inventory/used-2019-Aston+Martin-DBS+Superleggera-SCFRMHAV7KGR00104?utm_source=google&utm_medium=cpc&utm_campaign=dealer_world&utm_content=mclaren_conquest,,,,,Enabled,Enabled,Enabled,Approved,,1655,0.97%,3.07,0,0,0.00%,0,1.7
Conquest (Model),McLaren,Expanded text ad,Branding,Aston Martin DBS Superleggera,Explore DBS Inventory,Aston Martin San Diego,Visit Aston Martin San Diego,Expanding the availability of high-end automobiles & automotive service in Southern CA.,,,https://www.astonmartinsandiego.com/inventory?category=new&vehicle=aston%2Bmartin%40dbs%2Bsuperleggera&utm_source=google&utm_medium=cpc&utm_campaign=dealer_world&utm_content=mclaren_conquest,,,,,Enabled,Enabled,Paused,Approved,,0,0.00%,0,0,0,0.00%,0,0
Conquest (Model),McLaren,Expanded text ad,KGR00308;Offer;sold,Aston Martin DBS Superleggera,View Photos & Details,Aston Martin San Diego,Lease an all new 2019 Aston Martin DBS Superleggera from Aston Martin San Diego,Expanding the availability of high-end automobiles & automotive service in Southern CA.,,,https://www.astonmartinsandiego.com/inventory/new-2019-Aston+Martin-DBS+Superleggera-SCFRMHAV1KGR00308?utm_source=google&utm_medium=cpc&utm_campaign=dealer_world&utm_content=mclaren_conquest,,,,,Enabled,Enabled,Paused,Approved,,37,2.70%,0.98,0,0,0.00%,0,1.5
Conquest (Model),McLaren,Expanded text ad,KGR00104;Offer,Aston Martin DBS Superleggera,Lease A 2019 DBS Coupe,Aston Martin San Diego,Lease a 2019 Aston Martin DBS Superleggera from Aston Martin San Diego,Here to help you get into the Aston Martin of your dreams.,,,https://www.astonmartinsandiego.com/inventory/used-2019-Aston+Martin-DBS+Superleggera-SCFRMHAV7KGR00104?utm_source=google&utm_medium=cpc&utm_campaign=dealer_world&utm_content=mclaren_conquest,,,,,Enabled,Enabled,Enabled,Approved,,292,1.03%,3.23,0,0,0.00%,0,1.5
Conquest (Model),McLaren,Expanded text ad,Branding,Aston Martin DBS Superleggera,Explore DBS Inventory Now,Aston Martin San Diego,Expanding the availability of high-end automobiles & automotive service in Southern CA.,,,,https://www.astonmartinsandiego.com/inventory?category=new&vehicle=aston%2Bmartin%40dbs%2Bsuperleggera&utm_source=google&utm_medium=cpc&utm_campaign=dealer_world&utm_content=mclaren_conquest,,,,,Enabled,Enabled,Paused,Approved,,0,0.00%,0,0,0,0.00%,0,0
Conquest (Model),McLaren,Expanded text ad,KGR00308;Offer;sold,Aston Martin DBS Superleggera,Lease The All New DBS,Aston Martin San Diego,Lease an all new Aston Martin DBS Superleggera from Aston Martin San Diego,Expanding the availability of high-end automobiles & automotive service in Southern CA.,,,https://www.astonmartinsandiego.com/inventory/new-2019-Aston+Martin-DBS+Superleggera-SCFRMHAV1KGR00308?utm_source=google&utm_medium=cpc&utm_campaign=dealer_world&utm_content=mclaren_conquest,,,,,Enabled,Enabled,Paused,Approved,,4,0.00%,0,0,0,0.00%,0,1
Conquest (Model),McLaren,Expanded text ad,KGR00104;Offer,Aston Martin DBS Superleggera,View Lease Special,Aston Martin San Diego,Lease a 2019 Aston Martin DBS Superleggera from Aston Martin San Diego,"36 Month Lease. 35,000 Due at Signing. Offer Expires 7/31/19.",,,https://www.astonmartinsandiego.com/inventory/used-2019-Aston+Martin-DBS+Superleggera-SCFRMHAV7KGR00104?utm_source=google&utm_medium=cpc&utm_campaign=dealer_world&utm_content=mclaren_conquest,,,,,Enabled,Enabled,Enabled,Approved,,144,2.78%,3.16,0,0,0.00%,0,1.7
Conquest (Model),Rapide,Expanded text ad,Branding,Aston Martin Rapide,View Rapide Inventory,Aston Martin San Diego,Visit Aston Martin San Diego,Expanding the availability of high-end automobiles & automotive service in Southern CA.,,,https://www.astonmartinsandiego.com/inventory?category=new&vehicle=aston%2Bmartin%40rapide&utm_source=google&utm_medium=cpc&utm_campaign=dealer_world&utm_content=conquest_rapide,,,,,Enabled,Enabled,Paused,Approved,,0,0.00%,0,0,0,0.00%,0,0
Conquest (Model),Rapide,Expanded text ad,KGF06299;Offer,Aston Martin Rapide,Lease The All New Rapide,Aston Martin San Diego,Lease an all new Aston Martin Rapide from Aston Martin San Diego,Expanding the availability of high-end automobiles & automotive service in Southern CA.,,,https://www.astonmartinsandiego.com/inventory/new-2019-Aston+Martin-Rapide-AMR-SCFHMDHZ6KGF06299?utm_source=google&utm_medium=cpc&utm_campaign=dealer_world&utm_content=conquest_rapide,,,,,Enabled,Enabled,Enabled,Approved,,621,0.00%,0,0,0,0.00%,0,1.9
Conquest (Model),Rapide,Expanded text ad,Branding,The All New Rapide,Aston Martin Rapide,View San Diego Inventory,Visit Aston Martin San Diego,Expanding the availability of high-end automobiles & automotive service in Southern CA.,,,https://www.astonmartinsandiego.com/inventory?category=new&vehicle=aston%2Bmartin%40rapide&utm_source=google&utm_medium=cpc&utm_campaign=dealer_world&utm_content=conquest_rapide,,,,,Enabled,Enabled,Paused,Approved,,0,0.00%,0,0,0,0.00%,0,0
Conquest (Model),Rapide,Expanded text ad,Branding,Aston Martin Rapide,The All New Rapide Inventory,Aston Martin San Diego,Expanding the availability of high-end automobiles & automotive service in Southern CA.,,,,https://www.astonmartinsandiego.com/inventory?category=new&vehicle=aston%2Bmartin%40rapide&utm_source=google&utm_medium=cpc&utm_campaign=dealer_world&utm_content=conquest_rapide,,,,,Enabled,Enabled,Paused,Approved,,0,0.00%,0,0,0,0.00%,0,0
Conquest (Model),Rapide,Expanded text ad,KGF06299;Offer,Aston Martin Rapide AMR,View Photos & Details,Aston Martin San Diego,Lease an all new 2019 Aston Martin Rapide from Aston Martin San Diego,Expanding the availability of high-end automobiles & automotive service in Southern CA.,,,https://www.astonmartinsandiego.com/inventory/new-2019-Aston+Martin-Rapide-AMR-SCFHMDHZ6KGF06299?utm_source=google&utm_medium=cpc&utm_campaign=dealer_world&utm_content=conquest_rapide,,,,,Enabled,Enabled,Enabled,Approved,,12578,0.37%,4.06,0,0,0.00%,0,2
Conquest (Model),Rapide,Expanded text ad,KGF06299;Offer,Aston Martin Rapide,Lease A New Rapide AMR,Aston Martin San Diego,Lease an all new Aston Martin Rapide from Aston Martin San Diego,Expanding the availability of high-end automobiles & automotive service in Southern CA.,,,https://www.astonmartinsandiego.com/inventory/new-2019-Aston+Martin-Rapide-AMR-SCFHMDHZ6KGF06299?utm_source=google&utm_medium=cpc&utm_campaign=dealer_world&utm_content=conquest_rapide,,,,,Enabled,Enabled,Enabled,Approved,,321,0.31%,4.89,0,0,0.00%,0,2.2
Conquest (Model),Porsche 911,Expanded text ad,KGN02587;Offer,Aston Martin Vantage,"Lease The New Vantage, $1,697",Aston Martin San Diego,"Lease an all new Aston Martin Vantage for $1,697 a month from Aston Martin San Diego",Expanding the availability of high-end automobiles & automotive service in Southern CA.,,,https://www.astonmartinsandiego.com/inventory/new-2019-Aston+Martin-Vantage-SCFSMGAW7KGN02587?utm_source=google&utm_medium=cpc&utm_campaign=dealer_world&utm_content=porsche_conquest,,,,,Enabled,Enabled,Enabled,Approved,,319,0.00%,0,0,0,0.00%,0,2
